Range Group #(DO NOT CHANGE),Index in Range Group(DO NOT CHANGE),Range #(DO NOT CHANGE),Range Name,Start Call Number 1,End Call Number 1,Location 1,Start Call Number 2,End Call Number 2,Location 2,Etc
0,0,215,Reference,*,*,Reference
0,0,217,100 Good Titles,*,*,100 Good Titles
0,0,220,New Arrivals,PN0.,ZZ999.,4th Floor Exhibition Shelf
0,0,227,
0,0,229,New Arrivals,A0.,PM9999.,4th Floor Exhibition Shelf
1,0,195,1,AC1.,B2430. F724 M4,4th Floor Book Collection
2,0,45,2,B2430. F724 M5,BF637. S8 J67127 2022,4th Floor Book Collection
2,1,46,3,BF637. S8 K3787 2018,BR65. A63,4th Floor Book Collection
2,2,47,4,BR65. A64,D210. P75 2015,4th Floor Book Collection
2,3,48,5,D210. P75 2020,DD999.,4th Floor Book Collection
2,4,49,6,DE1.,DS110. D2,4th Floor Book Collection
2,5,50,7,DS110. D3,DS758.23 Z49 A2 2015 V.4,4th Floor Book Collection
2,6,51,8,DS758.23 Z49 A2 2015 V.5,E302. J44 V.13,4th Floor Book Collection
2,7,52,9,E302. J44 V.16,GB661.2 P36 2019,4th Floor Book Collection
6,0,67,10,GN281. B438 2022,GV1785. P265 L46 2019,4th Floor Book Collection
6,1,68,11,GE190. C6 C45 2016,GV9999.,4th Floor Book Collection,A0.,GT3911.77 P38 2017,Oversize Book Collection
7,0,84,12,H22.,HB99.5 A63 2001,4th Floor Book Collection
7,1,85,13,HB99.5 F8713 1997,HB195. C693 2015,4th Floor Book Collection
7,2,86,14,HB195. K57 2007,HB2082. L36,4th Floor Book Collection
7,3,87,15,HB2085. A3,HC79. H53 G38 2021,4th Floor Book Collection
7,4,88,16,HC79. H53 G74 2018,HC412. H83 2018,4th Floor Book Collection
7,5,89,17,HC412. I58 2017,HC1060.,4th Floor Book Collection
7,6,102,18,HD21.,HD30.28 G72 1995,4th Floor Book Collection
7,7,103,19,HD30.28 G72 1995 C.2,HD38.5 M67 2018,4th Floor Book Collection
7,8,104,20,HD38.5 P343 2020,HD57.7 P666 2002,4th Floor Book Collection
7,9,105,21,HD57.7 P69 2019,HD58.82 B63 2019,4th Floor Book Collection
7,10,106,22,HD58.82 B73 2013,HD61. H336 2022,4th Floor Book Collection
7,11,107,23,HD61. H56 2001,HD62.4 S73 2018,4th Floor Book Collection
7,12,108,24,HD62.4 I39 2002,HD69. P75 H3856 2016,4th Floor Book Collection
7,13,109,25,HD69. P75 H434 2016,HD2092. S63 1986A,4th Floor Book Collection
7,14,114,26,HD2093. B732021,HD5724. W6254 2006,4th Floor Book Collection
7,15,115,27,HD5724. W64185 2001,HD9502. A2 B876 2019,4th Floor Book Collection
15,0,82,28,HD9502. A2 A324 2011,HD9999. U53,4th Floor Book Collection
15,1,83,29,HE11.,HE9878. A4,4th Floor Book Collection
16,0,33,30,HF54.5,HF3834. G87 2021,4th Floor Book Collection
16,1,34,31,HF3834. W459 2016,HF5415.5 G878 2000,4th Floor Book Collection
16,2,35,32,HF5415.5 D35 2021,HF5549. W4839 2022,4th Floor Book Collection
16,3,36,33,HF5449. X56 2020,HF6178.,4th Floor Book Collection
